estado,cidade,n_pedidos
SP,osasco,746
MG,itapecerica,13
ES,nova venecia,19
MG,mendonca,1
SP,sao paulo,15540
SP,valinhos,183
RJ,niteroi,849
RJ,rio de janeiro,6882
RS,ijui,52
MG,oliveira,22
RS,novo hamburgo,123
BA,vitoria da conquista,92
SP,campinas,1444
SP,jacarei,194
RS,colorado,3
RS,frederico westphalen,14
SP,piracaia,22
CE,parambu,4
MG,uberlandia,374
RS,porto alegre,1379
SP,ibiuna,31
MG,belo horizonte,2773
SP,sao jose dos campos,691
RJ,mage,111
PR,curitiba,1521
SP,santo andre,796
SP,pirassununga,69
SP,guaruja,226
SP,cotia,250
MS,campo grande,320
SP,campos do jordao,26
PB,joao pessoa,256
SP,itupeva,44
SC,agronomica,2
MG,sobralia,1
SC,chapeco,103
SP,aguai,10
SP,biritiba-mirim,10
RJ,rio das ostras,137
MG,bueno brandao,4
BA,itacare,8
SP,sao manuel,21
PB,cabedelo,7
SP,jundiai,565
MG,juiz de fora,427
SP,sao bernardo do campo,938
SP,ribeirao preto,510
PR,ponta grossa,143
RJ,itaborai,60
RS,sapiranga,26
RS,caxias do sul,224
MS,tres lagoas,42
PR,corbelia,3
RJ,mesquita,75
SP,capao bonito,28
CE,fortaleza,654
BA,salvador,1245
SC,tijucas,30
SP,monte mor,40
SP,cacapava,74
SP,atibaia,159
MG,betim,203
PR,palmeira,13
PR,paranavai,47
MT,cuiaba,248
PR,nova esperanca,8
SP,jaboticabal,54
MG,guimarania,4
SP,bertioga,49
MT,pedra preta,4
PA,belem,443
SP,indiana,3
SP,mogi das cruzes,383
MG,varginha,89
MT,diamantino,7
SC,santa cecilia,6
ES,serra,285
SP,maua,323
RS,canela,18
BA,mascote,2
BA,trancoso,6
MG,montalvania,3
RS,julio de castilhos,10
SP,aruja,69
RN,mossoro,37
PI,teresina,281
SP,sumare,183
PR,maringa,271
DF,brasilia,2131
MG,coromandel,25
RJ,nova friburgo,152
RS,estrela,16
SP,botucatu,101
PR,quatro barras,18
SC,criciuma,93
PA,altamira,25
RS,passo fundo,113
PR,ampere,9
SP,ibate,13
ES,vitoria,379
SC,itajai,120
MG,tres coracoes,43
SC,florianopolis,570
SP,bauru,273
MG,alvinopolis,11
SP,paulinia,130
RJ,campos dos goytacazes,238
SP,suzano,234
MG,machado,21
SP,marilia,196
GO,goiania,692
RS,dom pedrito,10
SP,tremembe,38
RJ,sapucaia,5
MG,extrema,40
PE,cabo de santo agostinho,21
SP,carapicuiba,328
RO,seringueiras,2
PE,recife,613
MG,ouro fino,16
MA,cedral,3
SP,indaiatuba,280
RJ,vassouras,37
GO,jatai,54
MG,morada nova de minas,3
RJ,petropolis,240
SP,cerquilho,30
RS,santiago,26
GO,posse,17
SC,joinville,264
RS,sao leopoldo,105
SP,louveira,44
PR,cascavel,148
MA,sao jose de ribamar,14
SP,vargem grande paulista,44
RS,rosario do sul,14
BA,jacobina,24
RJ,sao pedro da aldeia,46
GO,itumbiara,36
SP,santos,713
SP,votorantim,85
SE,ribeiropolis,1
SP,cruzalia,3
MG,itajuba,94
SP,tatui,75
RO,porto velho,113
SC,porto belo,9
MG,carmo do rio claro,9
AM,manaus,140
SP,matao,52
PI,cocal,8
MG,montes claros,211
MG,arapora,5
RS,erechim,58
SP,boituva,50
RJ,nova iguacu,442
MG,sao jose do divino,1
SP,rio claro,154
MG,contagem,426
MG,pedro leopoldo,40
MT,lucas do rio verde,24
SP,ubatuba,76
RJ,marica,139
BA,tanque novo,3
PR,castro,22
PE,itapissuma,3
GO,aguas lindas de goias,24
MG,santa luzia,93
SP,aparecida,25
MA,sao luis,353
PR,colombo,62
PR,prudentopolis,7
SP,franco da rocha,109
SP,caieiras,102
SP,embu das artes,165
SP,itaquaquecetuba,172
ES,cachoeiro de itapemirim,122
SP,santa cruz das palmeiras,9
RS,nova alvorada,3
MG,visconde do rio branco,19
RJ,cachoeiras de macacu,21
MG,governador valadares,141
RS,coxilha,2
ES,linhares,65
MG,divinopolis,137
MG,ouro branco,41
PR,londrina,306
MG,alpinopolis,7
SP,sao jose do rio preto,335
RJ,queimados,54
MG,sao pedro dos ferros,4
SP,varzea paulista,80
BA,ipiau,8
RS,cruz alta,33
PE,catende,7
SC,rio do sul,35
MT,tapurah,1
SP,praia grande,311
RJ,sao goncalo,409
AL,maceio,247
MG,santo antonio do amparo,4
SP,franca,161
RS,uruguaiana,48
MG,araxa,78
TO,palmas,91
SP,limeira,190
SP,guarulhos,1189
RN,natal,207
SC,orleans,8
MG,uba,53
SP,birigui,79
MG,guaxupe,37
GO,catalao,34
PA,santarem,44
MT,caceres,25
RS,carlos barbosa,20
SP,rio grande da serra,26
SP,santa gertrudes,12
SP,santa barbara d'oeste,119
SP,pindamonhangaba,101
PB,itaporanga,2
GO,ipora,15
